Address Type,Wallet Name,Asset,Asset Name,Address,Tag/Memo,Balance
Internal,CoinBase EU,SOL,Solana,B3Xq2KRzxhGP6xicfTmpt5D4mmvEUz8w945oJRxNUtJW,,0
Internal,CoinBase EU,BAND,BandToken,0xF872cAD797966F93e92854194FdeDA574FF591C5,,0
Internal,CoinBase EU,DASH,Dash,XdR6o2pf9acRGSGccx94TxNPFynyy9Sn96,,0
Internal,CoinBase EU,APE_ETH,ApeCoin,0xd8e0e93D845B65Adbd3698E5e2d623c262b0FDE6,,0
Internal,CoinBase EU,API3,API3,0x248b50D17aA6909e2Dd4985f2a983c057fe4c8CD,,0
Internal,CoinBase EU,AMP,Amp,0xe567c24751615518adeb02c47Dc360D9EB559d9e,,0
Internal,CoinBase EU,OXT,Orchid,0x92afd48a2be1AF5348242C6109bdc42E2C27a92e,,0
Internal,CoinBase EU,SNX,Synthetix Network Token,0x522c80ADCb495062AbafbDB68ab7570ae41dE3cb,,0
Internal,CoinBase EU,STORJ,Storj,0x54f084d32f45Ff37f405722b856AfDA030132ceA,,0
Internal,CoinBase EU,HBAR,Hedera Hashgraph,0.0.1133968,3656878848,9.9976646
Internal,CoinBase EU,COMP,Compound Token,0xDc8D4265fE021D8c4075b4721c05C965a92C4e73,,233.38
Internal,CoinBase EU,BNT,Bancor,0x550B9A0d877c4Ee607b8a840aE800fC156593c63,,94202.62199362
Internal,CoinBase EU,LINK,Chainlink,0x6a4BE427683FCF5491EF2dce94CC966E9e37dD22,,0
Internal,Binance BVI,LUNA2,Terra Luna 2.0,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,109226519,5833.768961
Internal,Binance BVI,BAT,Basic Attn.,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,UNI,Uniswap,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,DYDX,dYdX,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,ANKR,Ankr Network,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,API3,API3,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,AAVE,Aave Token,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,LUNA,Terra Classic Luna,terra1ncjg4a59x2pgvqy9qjyqprlj8lrwshm0wleht5,109226519,176804545.219298
Internal,Binance BVI,BAL,Balancer,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,MATIC,Matic Token (Ethereum),0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,KNC,Kyber Network Crystal v2,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,SAND,SAND,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,ALGO,Algorand,MOMZBLFCE2KIBWOFZIKRZCSUTAXB6R6GGIY6TNPJ6M24UUQ7DZ5MEA3YSQ,0,0.399
Internal,Binance BVI,FET,Fetch,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,1INCH,1INCH Token,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,LINK,Chainlink,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,XTZ,Tezos,tz1dfdtup2C3LcwbrLpuzqi1dqVr3SxBVQLQ,,0.002
Internal,Binance BVI,SNX,Synthetix Network Token,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,COMP,Compound Token,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,MANA,Decentraland,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,CHZ,Chiliz (ETH),0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,XLM,Stellar,GAHK7EEG2WWHVKDNT4CEQFZGKF2LGDSW2IVM4S5DP42RBW3K6BTODB4A,1034723525,403360.3752451
Internal,Binance BVI,LPT,Livepeer Token,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,LRC,Loopring,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,BAND,BandToken,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,IMX_ERC20,Immutable X,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,CRV,Curve DAO Token,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
Internal,Binance BVI,SUSHI,Sushi Token,0x6b5a7e87a2e207e022ab820c618b89d8374aa5d5,,0
